2024-06-06 17:10:04.456504: param 0, 7<3
2024-06-06 17:10:04.808687: param 0, 5<7
2024-06-06 17:10:05.130687: parameter 0, 7 < 6
2024-06-06 17:10:05.410806: param 1, 4<7
2024-06-06 17:10:05.718561: param 1, 7<6
2024-06-06 17:10:06.003559: parameter 1, 2 < 7
2024-06-06 17:10:06.283162: param 0, 8<3
2024-06-06 17:10:06.568482: param 0, 7<8
2024-06-06 17:10:06.878082: parameter 0, 8 < 6
2024-06-06 17:10:07.178742: param 1, 2<8
2024-06-06 17:10:07.453538: param 1, 8<6
2024-06-06 17:10:07.744800: parameter 1, 7 < 8
2024-06-06 17:10:08.040793: param 0, 9<6
2024-06-06 17:10:08.322897: param 0, 7<9
2024-06-06 17:10:08.603410: parameter 0, 9 < 8
2024-06-06 17:10:08.936036: param 1, 2<9
2024-06-06 17:10:09.262704: param 1, 9<6
2024-06-06 17:10:09.522568: parameter 1, 8 < 9
2024-06-06 17:10:09.822446: param 0, 10<6
2024-06-06 17:10:10.094556: param 0, 7<10
2024-06-06 17:10:10.385717: parameter 0, 10 < 8
2024-06-06 17:10:10.665319: parameter 0, 9 < 10
2024-06-06 17:10:10.961976: param 1, 10<7
2024-06-06 17:10:11.525114: param 1, 10<5
2024-06-06 17:10:11.798947: parameter 1, 3 < 10
2024-06-06 17:10:12.078601: param 0, 11<8
2024-06-06 17:10:12.390735: param 0, 7<11
2024-06-06 17:10:12.680365: parameter 0, 11 < 10
2024-06-06 17:10:12.945545: parameter 0, 9 < 11
2024-06-06 17:10:13.230553: param 1, 11<2
2024-06-06 17:10:13.483308: param 1, 10<11
2024-06-06 17:10:13.756645: parameter 1, 11 < 4
2024-06-06 17:10:14.044998: parameter 1, 5 < 11
2024-06-06 17:10:14.327402: param 0, 12<8
2024-06-06 17:10:14.596979: param 0, 9<12
2024-06-06 17:10:14.944533: parameter 0, 12 < 10
2024-06-06 17:10:15.205016: parameter 0, 11 < 12
2024-06-06 17:10:15.495665: param 1, 12<2
2024-06-06 17:10:15.784460: param 1, 5<12
2024-06-06 17:10:16.096547: parameter 1, 12 < 4
